Country,Population,PopUnder15,PopOver60,HealthExp,AdultMortalityRate,HealthyLifeBirth,HealthyLifeBirthM,HealthyLifeBirthF,HealthyLife60,HealthyLife60M,HealthyLife60F,DoctorsPer100,NursesPer100,BasicSanitation,HighBloodPressure,HealthExpGDP,HealthExpUS,HealthExpPPP,HealthExpOPP,CleanWater,HealthRisks,CleanCities,PollPulmDisease,PollHeartDisease,PollRespInfect,PollStroke,PollsTBLCancer,PollTotalDeaths,TotalObesityPrev,ObesityPrevM,ObesityPrevF,DailyTobaccoUse,DailyTobaccoUseM,DailyTobaccoUseF,DailyTobaccoSmoke,DailyTobaccoSmokeM,DailyTobaccoSmokeF,DailyCigSmoke,DailyCigSmokeM,DailyCigSmokeF
Slovenia,2078,14.8,1.5,12.83,72,70.5,68.3,72.6,17.6,16,19,28.148,88.244,99,30.5,8.2,1920.3,2960.6,236.7,100,86,16.4,5,26,7,11,8,57,20.2,19.4,21,19.7,22.2,17.2,19.7,22.2,17.2,17.7,19.7,15.8
Solomon Islands,599,39.2,0.1,12.54,146,61.9,61.4,62.5,13.1,12.7,13.6,1.937,0,34,22,4.7,101.2,115.2,5.5,68,34,11.5,10,23,17,16,2,67,22.5,17.9,27.1,29.7,44.6,14.7,29.7,44.6,14.7,23.1,35.3,10.9
South Africa,56015,29.2,13.3,14.23,301,55.7,53.2,58.2,12.5,10.6,14.1,7.814,12.693,76,26.9,8.1,499.2,1097.8,38.8,93,70,24.3,9,16,22,10,3,61,28.3,15.4,39.6,23.5,34.4,12.6,17.3,28.8,5.8,13.8,23,4.6
Spain,46348,14.8,33.3,14.5,56,73.8,72.2,75.4,20.3,18.7,21.8,32.166,52.608,100,19.2,8.9,2506.5,3468.7,590.7,100,85,9.8,6,11,2,5,3,27,23.8,24.6,22.8,23.9,25.1,22.6,23.9,25.1,22.6,22.2,22.9,21.5
Sri Lanka,20798,24.3,8.6,11.17,131,66.8,64.4,69.3,16.1,15.1,16.9,8.624,19.606,96,22.4,3.8,159.5,503.6,79.4,89,54,15.1,12,45,12,17,3,89,5.2,2.9,7.3,18.5,34.7,2.3,10.2,20.3,0.2,7.2,14.4,0.1
Sweden,9838,17.4,7.2,19.03,52,72.4,71.5,73.4,19.2,18.2,20.1,42.856,117.224,99,19.3,11,5904.6,5699.6,887.6,100,92,6.1,2,11,1,3,1,18,20.6,23.1,18.1,17.9,22.7,13,9.6,9,10.3,7.6,6.8,8.4
Switzerland,8402,14.8,5.8,22.7,49,73.5,72.4,74.5,20.1,19,21.2,41.898,168.618,100,18,12.3,9956.3,8217,2882,100,95,10.4,4,13,2,3,2,25,19.5,22.2,16.9,20.3,21.5,19.2,20.3,21.5,19.2,20.1,20.8,19.3
Thailand,68864,17.7,32.3,13.28,147,66.8,64,69.8,17,15.7,18.1,4.651,23.683,99,22.3,3.7,247,670.9,27.5,100,85,26.6,14,21,26,14,9,85,10,7,12.7,17.5,32.6,2.4,16.9,32.5,1.3,16,30.9,1.1
Timor-Leste,1269,43.7,0.2,2.44,150,59.2,57.7,60.7,11.1,10.5,11.8,6.946,14.821,54,27.6,3.9,83.2,263.8,6.9,78,37,18.2,7,20,30,13,6,77,3.8,2.6,4.9,27.2,45.1,9.2,27.2,45.1,9.2,29.1,54.9,3.2
Togo,7606,41.8,1,7.85,265,53.9,53.6,54.2,11.9,11.6,12.1,0.493,3.018,16,28.9,6.2,38,103.7,22.2,65,39,31.2,8,29,58,18,0,115,8.4,3.9,12.5,6.4,11.3,1.4,5.6,10.6,0.7,4.2,8.2,0.2
Tunisia,11403,23.9,3.9,14.16,91,66.3,65.3,67.3,15.1,14.2,15.9,13.108,26.7,91,23.2,7.2,250.6,863.3,98,96,71,35.7,5,33,7,9,3,57,26.9,19.1,34.3,20.2,38.9,1.6,19.5,37.5,1.4,14.7,28.9,0.5
Turkey,79512,25.3,26.9,10.5,104,66,64.4,67.6,15.5,14.4,16.6,17.988,26.218,97,20.3,4.2,444.7,1180.6,77.3,99,77,41.2,9,22,3,6,6,46,32.1,24.4,39.2,24.5,35.9,13.1,24.5,35.9,13.1,23.4,34.2,12.6
Uganda,41488,48,4,10.97,288,54.9,52.9,56.9,12.8,12,13.4,0.954,15.565,18,27.3,6.3,38.9,122.7,15,49,66,48.7,5,11,47,10,1,74,5.3,1.8,8.6,8.2,13,3.4,5.2,8.9,1.5,4.8,8.5,1.1
United Arab Emirates,9270,13.9,0.6,8.69,74,66.7,66,68.3,14.9,14.4,16.1,22.111,49.828,99,21.1,3.3,1357,2468.5,256,98,96,37.2,1,10,1,3,0,16,31.7,27.5,41,14.6,28.8,0.5,11.8,23.2,0.3,8.6,17,0.1
United Kingdom of Great Britain and Northern Ireland,65789,17.6,45,16.52,67,71.9,70.9,72.9,19.2,18.3,20.1,27.465,82.936,99,15.2,9.6,3858.7,4338.4,615.7,100,93,10.6,6,12,6,5,3,32,27.8,26.9,28.6,16,17.7,14.3,16,17.7,14.3,15.2,16.9,13.6
United Republic of Tanzania,55572,45.1,7.4,12.31,261,56.5,54.9,58,13.4,12.8,14,0.14,0,30,27.3,3.6,33.9,104.3,8.2,57,51,25.1,5,17,43,9,0,75,8.4,4,12.7,10.7,18.8,2.6,8.2,15,1.5,7.5,14.4,0.6
United States of America,322180,19,195.6,21.29,114,68.5,66.9,70.1,17.9,16.7,19,25.781,0,100,12.9,17.1,10246.1,10246.1,1126.3,99,92,7.6,5,13,1,3,2,24,36.2,35.5,37,16.3,19.3,13.3,14.1,16,12.3,13,14.4,11.5
Uruguay,3444,21.2,1.9,20.77,114,68.8,65.8,71.2,17.6,15.4,19.6,39.558,0,97,20.7,9.3,1591.5,2101.9,279.3,99,84,8.7,6,13,4,6,3,32,27.9,24.9,30.6,17,20.2,13.8,17,20.2,13.8,15.3,17.8,12.7
Vanuatu,270,36.1,0.1,17.94,129,62.7,61.9,63.7,13.7,13,14.5,1.653,0,34,24.2,3.3,105.7,110.4,9.5,91,34,11,10,31,15,17,3,76,25.2,20.2,30.1,18.4,34.3,2.4,12.8,23.9,1.8,11.7,21.8,1.6
Yemen,27584,40.3,3.6,3.93,221,55.1,54.6,55.5,11.4,11,11.8,0,7.242,59,30.7,4.2,72,139,58.3,63,52,44.3,7,43,23,16,1,90,17.1,12,22,15.3,25.6,5,12.6,21.2,3.9,8.7,15.7,1.7
Zambia,16591,45.1,1.8,11.31,286,54.3,52.6,56,12.7,11.9,13.4,1.628,2.037,26,27.1,4.5,67.6,180.3,8,60,60,23.8,4,12,39,8,0,63,8.1,3.6,12.4,11.6,19.5,3.7,9.6,17.1,2,7.6,14.5,0.7
Zimbabwe,16150,41.4,2,8.49,334,54.4,52.7,55.9,13.4,12.4,14.1,1.815,13.825,36,28.2,6.6,110.1,201,22.7,64,50,19.1,6,13,39,8,1,67,15.5,4.7,25.3,10.5,19.9,1,10.5,19.9,1,9.6,18.8,0.3
